sensor id,timestamp,temp,hum,pressure,lux
10370001,2021-04-13 19:38:10,17.81,63.63,745.4,1.67
10370001,2021-04-13 19:38:39,17.81,63.64,745.4,1.67
10370001,2021-04-13 19:39:07,17.81,63.66,745.42,1.67
10370001,2021-04-13 19:39:35,17.81,63.69,745.38,1.67
10370001,2021-04-13 19:40:04,17.81,63.7,745.42,1.67
10370001,2021-04-13 19:40:32,17.81,63.7,745.43,1.67
10370001,2021-04-13 19:41:01,17.81,63.72,745.45,1.67
10370001,2021-04-13 19:41:30,17.81,63.72,745.45,1.67
10370001,2021-04-13 19:41:58,17.8,63.73,745.46,1.67
10370001,2021-04-13 19:42:27,17.81,63.77,745.45,1.67
10370001,2021-04-13 19:42:55,17.8,63.78,745.44,1.67
10370001,2021-04-13 19:43:23,17.79,63.74,745.48,1.67
10370001,2021-04-13 19:43:52,17.79,63.79,745.51,1.67
10370001,2021-04-13 19:44:20,17.78,63.8,745.51,1.67
10370001,2021-04-13 19:44:49,17.79,63.84,745.51,1.67
10370001,2021-04-13 19:45:17,17.79,63.86,745.53,1.67
10370001,2021-04-13 19:45:46,17.79,63.9,745.55,1.67
10370001,2021-04-13 19:46:14,17.78,63.91,745.54,1.67
10370001,2021-04-13 19:46:47,17.78,63.96,745.5,1.67
10370001,2021-04-13 19:47:16,17.79,64.07,745.53,1.67
10370001,2021-04-13 19:47:44,17.79,64.13,745.54,1.67
10370001,2021-04-13 19:48:15,17.81,64.18,745.54,1.67
10370001,2021-04-13 19:48:43,17.81,64.23,745.52,1.67
10370001,2021-04-13 19:49:12,17.82,64.29,745.51,1.67
10370001,2021-04-13 19:49:40,17.83,64.29,745.55,1.67
10370001,2021-04-13 19:50:08,17.83,64.33,745.56,1.67
10370001,2021-04-13 19:50:37,17.83,64.35,745.53,1.67
10370001,2021-04-13 19:51:05,17.84,64.35,745.54,1.67
10370001,2021-04-13 19:51:34,17.85,64.36,745.59,1.67
10370001,2021-04-13 19:52:02,17.85,64.33,745.59,1.67
10370001,2021-04-13 19:52:30,17.84,64.3,745.58,1.67
10370001,2021-04-13 19:52:58,17.85,64.3,745.61,1.67
10370001,2021-04-13 19:53:27,17.85,64.31,745.64,1.67
10370001,2021-04-13 19:53:55,17.85,64.3,745.6,1.67
10370001,2021-04-13 19:54:23,17.85,64.28,745.62,1.67
10370001,2021-04-13 19:54:51,17.84,64.25,745.63,1.67
10370001,2021-04-13 19:55:20,17.84,64.28,745.64,1.67
10370001,2021-04-13 19:55:48,17.84,64.3,745.64,1.67
10370001,2021-04-13 19:56:17,17.84,64.28,745.66,1.67
10370001,2021-04-13 19:56:45,17.84,64.28,745.64,1.67
10370001,2021-04-13 19:57:14,17.84,64.3,745.62,1.67
10370001,2021-04-13 19:57:43,17.84,64.31,745.64,1.67
10370001,2021-04-13 19:58:11,17.84,64.36,745.64,1.67
10370001,2021-04-13 19:58:39,17.84,64.41,745.69,1.67
10370001,2021-04-13 19:59:08,17.83,64.42,745.65,1.67
10370001,2021-04-13 19:59:36,17.84,64.43,745.66,1.67
10370001,2021-04-13 20:00:05,17.83,64.45,745.66,1.67
10370001,2021-04-13 20:00:33,17.84,64.43,745.72,1.67
10370001,2021-04-13 20:01:01,17.83,64.38,745.73,1.67
10370001,2021-04-13 20:01:30,17.83,64.44,745.69,1.67
10370001,2021-04-13 20:01:58,17.83,64.47,745.71,1.67
10370001,2021-04-13 20:02:26,17.83,64.52,745.7,1.67
10370001,2021-04-13 20:02:55,17.83,64.54,745.73,1.67
10370001,2021-04-13 20:03:23,17.83,64.57,745.77,1.67
10370001,2021-04-13 20:03:51,17.82,64.58,745.78,1.67
10370001,2021-04-13 20:04:20,17.82,64.57,745.79,1.67
10370001,2021-04-13 20:04:48,17.82,64.58,745.81,1.67
10370001,2021-04-13 20:05:16,17.82,64.59,745.86,1.67
10370001,2021-04-13 20:05:45,17.82,64.6,745.84,1.67
10370001,2021-04-13 20:06:13,17.81,64.63,745.87,1.67
10370001,2021-04-13 20:06:42,17.8,64.67,745.85,1.67
10370001,2021-04-13 20:07:10,17.82,64.7,745.89,1.67
10370001,2021-04-13 20:07:39,17.82,64.72,745.89,1.67
10370001,2021-04-13 20:08:07,17.82,64.79,745.9,1.67
10370001,2021-04-13 20:08:36,17.82,64.81,745.93,1.67
10370001,2021-04-13 20:09:04,17.82,64.84,745.93,1.67
10370001,2021-04-13 20:09:33,17.83,64.88,745.93,1.67
10370001,2021-04-13 20:10:01,17.82,64.88,745.95,1.67
10370001,2021-04-13 20:10:29,17.82,64.9,745.97,1.67
10370001,2021-04-13 20:10:58,17.82,64.91,745.97,1.67
10370001,2021-04-13 20:11:26,17.82,64.93,745.96,1.67
10370001,2021-04-13 20:11:55,17.83,64.94,745.99,1.67
10370001,2021-04-13 20:12:23,17.83,64.95,746.03,1.67
10370001,2021-04-13 20:12:52,17.83,64.95,746.06,1.67
10370001,2021-04-13 20:13:20,17.83,64.97,746.12,1.67
10370001,2021-04-13 20:13:48,17.82,64.97,746.11,1.67
10370001,2021-04-13 20:14:17,17.82,64.98,746.15,1.67
10370001,2021-04-13 20:14:45,17.83,64.97,746.16,1.67
10370001,2021-04-13 20:15:14,17.82,64.93,746.16,1.67
10370001,2021-04-13 20:15:42,17.82,64.87,746.17,1.67
10370001,2021-04-13 20:16:10,17.82,64.92,746.17,1.67
10370001,2021-04-13 20:16:39,17.81,64.95,746.2,1.67
10370001,2021-04-13 20:17:07,17.82,64.93,746.26,1.67
10370001,2021-04-13 20:17:35,17.81,64.94,746.27,1.67
